Genre, Number_of_movies
(Action,682840)
(Adventure,201080)
(Animation,142240)
(Biography,184372)
(Comedy,1066352)
(Crime,267588)
(Drama,740616)
(Family,7168)
(Fantasy,16384)
(Horror,142164)
(Musical,2048)
(Mystery,19480)
(Romance,7688)
(Sci-Fi,6676)
(Thriller,9228)
(War,1024)
(Western,1036)

Year, Number_of_movies
(1986,113032)
(1987,112128)
(1988,112640)
(1989,113152)
(1990,112640)
(1991,112640)
(1992,112640)
(1993,112640)
(1994,112640)
(1995,112640)
(1996,112640)
(1997,112640)
(1998,112640)
(1999,112640)
(2000,112640)
(2001,112640)
(2002,112640)
(2003,112640)
(2004,112640)
(2005,112640)
(2006,112640)
(2007,112640)
(2008,112640)
(2009,112640)
(2010,112640)
(2011,112640)
(2012,112640)
(2013,112640)
(2014,113784)
(2015,114512)
(2016,115376)

Year, Genre, Number_of_movies
((1986,Action),25180)
((1986,Adventure),8236)
((1986,Animation),3600)
((1986,Biography),3592)
((1986,Comedy),33396)
((1986,Crime),6168)
((1986,Drama),23612)
((1986,Family),1024)
((1986,Horror),5144)
((1986,Musical),512)
((1986,Sci-Fi),516)
((1986,Thriller),2052)
((1987,Action),24064)
((1987,Adventure),4608)
((1987,Animation),512)
((1987,Biography),3584)
((1987,Comedy),40448)
((1987,Crime),8704)
((1987,Drama),20480)
((1987,Fantasy),2048)
((1987,Horror),5632)
((1987,Mystery),512)
((1987,Sci-Fi),512)
((1987,Thriller),1024)
((1988,Action),17920)
((1988,Adventure),4608)
((1988,Animation),2560)
((1988,Biography),3072)
((1988,Comedy),41984)
((1988,Crime),7168)
((1988,Drama),24576)
((1988,Family),512)
((1988,Fantasy),1536)
((1988,Horror),5632)
((1988,Mystery),512)
((1988,Romance),1024)
((1988,Thriller),512)
((1988,War),1024)
((1989,Action),23552)
((1989,Adventure),7680)
((1989,Animation),1024)
((1989,Biography),5632)
((1989,Comedy),39936)
((1989,Crime),6656)
((1989,Drama),20480)
((1989,Family),512)
((1989,Fantasy),1536)
((1989,Horror),5120)
((1989,Sci-Fi),512)
((1989,Thriller),512)
((1990,Action),23552)
((1990,Adventure),5632)
((1990,Animation),2048)
((1990,Biography),4608)
((1990,Comedy),36352)
((1990,Crime),8704)
((1990,Drama),24064)
((1990,Family),1024)
((1990,Fantasy),1024)
((1990,Horror),4096)
((1990,Mystery),512)
((1990,Sci-Fi),512)
((1990,Thriller),512)
((1991,Action),21504)
((1991,Adventure),4608)
((1991,Animation),2560)
((1991,Biography),3072)
((1991,Comedy),41472)
((1991,Crime),7680)
((1991,Drama),27648)
((1991,Horror),1536)
((1991,Mystery),1536)
((1991,Romance),512)
((1991,Thriller),512)
((1992,Action),18944)
((1992,Adventure),7168)
((1992,Animation),3072)
((1992,Biography),5632)
((1992,Comedy),31744)
((1992,Crime),12800)
((1992,Drama),27648)
((1992,Fantasy),512)
((1992,Horror),3584)
((1992,Mystery),512)
((1992,Romance),512)
((1992,Thriller),512)
((1993,Action),17408)
((1993,Adventure),6144)
((1993,Animation),2560)
((1993,Biography),5632)
((1993,Comedy),33280)
((1993,Crime),9728)
((1993,Drama),31744)
((1993,Family),512)
((1993,Fantasy),1024)
((1993,Horror),3584)
((1993,Romance),512)
((1993,Western),512)
((1994,Action),16896)
((1994,Adventure),8192)
((1994,Animation),2560)
((1994,Biography),6656)
((1994,Comedy),47616)
((1994,Crime),8704)
((1994,Drama),17408)
((1994,Family),1536)
((1994,Fantasy),1024)
((1994,Horror),1024)
((1994,Mystery),512)
((1994,Romance),512)
((1995,Action),21504)
((1995,Adventure),9728)
((1995,Animation),3072)
((1995,Biography),4608)
((1995,Comedy),34816)
((1995,Crime),9216)
((1995,Drama),23040)
((1995,Family),512)
((1995,Fantasy),1024)
((1995,Horror),3584)
((1995,Musical),512)
((1995,Mystery),512)
((1995,Sci-Fi),512)
((1996,Action),17920)
((1996,Adventure),5120)
((1996,Animation),2560)
((1996,Biography),4096)
((1996,Comedy),44032)
((1996,Crime),9728)
((1996,Drama),23552)
((1996,Family),1024)
((1996,Fantasy),512)
((1996,Horror),2048)
((1996,Mystery),512)
((1996,Romance),512)
((1996,Sci-Fi),512)
((1996,Thriller),512)
((1997,Action),27648)
((1997,Adventure),5120)
((1997,Animation),2560)
((1997,Biography),4096)
((1997,Comedy),34816)
((1997,Crime),9728)
((1997,Drama),23040)
((1997,Fantasy),1536)
((1997,Horror),2560)
((1997,Mystery),512)
((1997,Romance),1024)
((1998,Action),19968)
((1998,Adventure),4096)
((1998,Animation),4096)
((1998,Biography),5120)
((1998,Comedy),43520)
((1998,Crime),10240)
((1998,Drama),19968)
