Genre, Number_of_movies
(Action,1331)
(Adventure,392)
(Animation,277)
(Biography,359)
(Comedy,2080)
(Crime,522)
(Drama,1444)
(Family,14)
(Fantasy,32)
(Horror,277)
(Musical,4)
(Mystery,38)
(Romance,15)
(Sci-Fi,13)
(Thriller,18)
(War,2)
(Western,2)

Year, Number_of_movies
(1986,220)
(1987,219)
(1988,220)
(1989,221)
(1990,220)
(1991,220)
(1992,220)
(1993,220)
(1994,220)
(1995,220)
(1996,220)
(1997,220)
(1998,220)
(1999,220)
(2000,220)
(2001,220)
(2002,220)
(2003,220)
(2004,220)
(2005,220)
(2006,220)
(2007,220)
(2008,220)
(2009,220)
(2010,220)
(2011,220)
(2012,220)
(2013,220)
(2014,220)
(2015,220)
(2016,220)

Year, Genre, Number_of_movies
((1986,Action),49)
((1986,Adventure),16)
((1986,Animation),7)
((1986,Biography),7)
((1986,Comedy),65)
((1986,Crime),12)
((1986,Drama),46)
((1986,Family),2)
((1986,Horror),10)
((1986,Musical),1)
((1986,Sci-Fi),1)
((1986,Thriller),4)
((1987,Action),47)
((1987,Adventure),9)
((1987,Animation),1)
((1987,Biography),7)
((1987,Comedy),79)
((1987,Crime),17)
((1987,Drama),40)
((1987,Fantasy),4)
((1987,Horror),11)
((1987,Mystery),1)
((1987,Sci-Fi),1)
((1987,Thriller),2)
((1988,Action),35)
((1988,Adventure),9)
((1988,Animation),5)
((1988,Biography),6)
((1988,Comedy),82)
((1988,Crime),14)
((1988,Drama),48)
((1988,Family),1)
((1988,Fantasy),3)
((1988,Horror),11)
((1988,Mystery),1)
((1988,Romance),2)
((1988,Thriller),1)
((1988,War),2)
((1989,Action),46)
((1989,Adventure),15)
((1989,Animation),2)
((1989,Biography),11)
((1989,Comedy),78)
((1989,Crime),13)
((1989,Drama),40)
((1989,Family),1)
((1989,Fantasy),3)
((1989,Horror),10)
((1989,Sci-Fi),1)
((1989,Thriller),1)
((1990,Action),46)
((1990,Adventure),11)
((1990,Animation),4)
((1990,Biography),9)
((1990,Comedy),71)
((1990,Crime),17)
((1990,Drama),47)
((1990,Family),2)
((1990,Fantasy),2)
((1990,Horror),8)
((1990,Mystery),1)
((1990,Sci-Fi),1)
((1990,Thriller),1)
((1991,Action),42)
((1991,Adventure),9)
((1991,Animation),5)
((1991,Biography),6)
((1991,Comedy),81)
((1991,Crime),15)
((1991,Drama),54)
((1991,Horror),3)
((1991,Mystery),3)
((1991,Romance),1)
((1991,Thriller),1)
((1992,Action),37)
((1992,Adventure),14)
((1992,Animation),6)
((1992,Biography),11)
((1992,Comedy),62)
((1992,Crime),25)
((1992,Drama),54)
((1992,Fantasy),1)
((1992,Horror),7)
((1992,Mystery),1)
((1992,Romance),1)
((1992,Thriller),1)
((1993,Action),34)
((1993,Adventure),12)
((1993,Animation),5)
((1993,Biography),11)
((1993,Comedy),65)
((1993,Crime),19)
((1993,Drama),62)
((1993,Family),1)
((1993,Fantasy),2)
((1993,Horror),7)
((1993,Romance),1)
((1993,Western),1)
((1994,Action),33)
((1994,Adventure),16)
((1994,Animation),5)
((1994,Biography),13)
((1994,Comedy),93)
((1994,Crime),17)
((1994,Drama),34)
((1994,Family),3)
((1994,Fantasy),2)
((1994,Horror),2)
((1994,Mystery),1)
((1994,Romance),1)
((1995,Action),42)
